dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
commons-codec:commons-codec,io.netty:netty-all,67,444,167,0.15,0.4,0.4
mysql:mysql-connector-java,org.apache.commons:commons-compress,55,406,169,0.14,0.33,0.33
org.slf4j:slf4j-api,org.springframework:spring-core,175,1022,249,0.17,0.7,0.7
io.springfox:springfox-swagger2,org.eclipse.jetty:jetty-webapp,2,108,121,0.02,0.02,0.02
org.apache.maven:maven-core,org.postgresql:postgresql,16,136,177,0.12,0.09,0.12
javax.xml.bind:jaxb-api,org.hsqldb:hsqldb,29,217,134,0.13,0.22,0.22
javax.xml.bind:jaxb-api,redis.clients:jedis,19,217,131,0.09,0.15,0.15
org.hsqldb:hsqldb,org.openjdk.jmh:jmh-generator-annprocess,12,134,138,0.09,0.09,0.09
commons-io:commons-io,log4j:log4j,173,785,361,0.22,0.48,0.48
com.zaxxer:HikariCP,org.springframework:spring-context,28,106,311,0.26,0.09,0.26
org.junit.jupiter:junit-jupiter-params,org.springframework.boot:spring-boot-starter-web,6,114,108,0.05,0.06,0.06
org.junit.jupiter:junit-jupiter-params,org.slf4j:slf4j-api,64,114,1022,0.56,0.06,0.56
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.apache.httpcomponents:httpclient,46,102,502,0.45,0.09,0.45
commons-cli:commons-cli,org.junit.jupiter:junit-jupiter-engine,37,283,246,0.13,0.15,0.15
org.springframework:spring-context-support,org.yaml:snakeyaml,19,112,196,0.17,0.1,0.17
javax.mail:mail,org.quartz-scheduler:quartz,22,119,101,0.18,0.22,0.22
javax.ws.rs:javax.ws.rs-api,org.apache.zookeeper:zookeeper,16,113,152,0.14,0.11,0.14
org.hamcrest:hamcrest-all,org.powermock:powermock-module-junit4,25,177,156,0.14,0.16,0.16
commons-httpclient:commons-httpclient,org.junit.jupiter:junit-jupiter-engine,10,105,246,0.1,0.04,0.1
com.fasterxml.jackson.core:jackson-databind,org.springframework.boot:spring-boot-starter-web,64,616,108,0.1,0.59,0.59
com.squareup.okhttp3:okhttp,org.easymock:easymock,5,176,136,0.03,0.04,0.04
com.fasterxml.jackson.core:jackson-annotations,org.apache.zookeeper:zookeeper,57,319,152,0.18,0.38,0.38
com.fasterxml.jackson.core:jackson-annotations,org.springframework:spring-test,66,319,248,0.21,0.27,0.27
org.postgresql:postgresql,org.powermock:powermock-module-junit4,29,177,156,0.16,0.19,0.19
org.scala-lang:scala-library,org.testng:testng,19,131,209,0.15,0.09,0.15
org.eclipse.jetty:jetty-servlet,org.quartz-scheduler:quartz,24,146,101,0.16,0.24,0.24
org.mockito:mockito-all,org.testng:testng,43,278,209,0.15,0.21,0.21
joda-time:joda-time,org.apache.maven:maven-core,17,274,136,0.06,0.13,0.13
org.junit.jupiter:junit-jupiter-engine,org.quartz-scheduler:quartz,13,246,101,0.05,0.13,0.13
org.junit.jupiter:junit-jupiter,org.slf4j:slf4j-log4j12,14,110,386,0.13,0.04,0.13
org.easymock:easymock,org.javassist:javassist,28,136,157,0.21,0.18,0.21
org.slf4j:jcl-over-slf4j,org.springframework:spring-core,69,220,249,0.31,0.28,0.31
commons-fileupload:commons-fileupload,commons-io:commons-io,135,181,785,0.75,0.17,0.75
org.freemarker:freemarker,org.springframework:spring-tx,12,106,117,0.11,0.1,0.11
org.apache.poi:poi-ooxml,org.testng:testng,8,106,209,0.08,0.04,0.08
com.h2database:h2,org.springframework:spring-core,65,262,249,0.25,0.26,0.26
org.junit.jupiter:junit-jupiter-params,org.projectlombok:lombok,23,114,338,0.2,0.07,0.2
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.junit.jupiter:junit-jupiter-params,15,102,114,0.15,0.13,0.15
commons-cli:commons-cli,org.freemarker:freemarker,14,283,106,0.05,0.13,0.13
commons-cli:commons-cli,org.apache.commons:commons-text,39,283,136,0.14,0.29,0.29
org.hibernate:hibernate-validator,org.mockito:mockito-core,33,107,678,0.31,0.05,0.31
javax.mail:mail,redis.clients:jedis,16,119,131,0.13,0.12,0.13
org.hibernate:hibernate-core,org.springframework.boot:spring-boot-starter-web,19,139,108,0.14,0.18,0.18
com.google.code.findbugs:jsr305,com.h2database:h2,41,230,262,0.18,0.16,0.18
ch.qos.logback:logback-classic,mysql:mysql-connector-java,130,523,406,0.25,0.32,0.32
javax.ws.rs:javax.ws.rs-api,org.hibernate:hibernate-validator,12,113,107,0.11,0.11,0.11
javax.ws.rs:javax.ws.rs-api,javax.xml.bind:jaxb-api,35,113,217,0.31,0.16,0.31
org.hamcrest:hamcrest-all,org.postgresql:postgresql,28,177,177,0.16,0.16,0.16
org.mockito:mockito-core,org.slf4j:jul-to-slf4j,61,678,111,0.09,0.55,0.55
org.mockito:mockito-core,org.openjdk.jmh:jmh-core,62,678,147,0.09,0.42,0.42
org.slf4j:jul-to-slf4j,org.springframework:spring-webmvc,16,111,190,0.14,0.08,0.14
com.fasterxml.jackson.core:jackson-databind,org.assertj:assertj-core,101,616,329,0.16,0.31,0.31
org.apache.commons:commons-text,org.hibernate:hibernate-validator,6,136,107,0.04,0.06,0.06
org.apache.commons:commons-text,org.openjdk.jmh:jmh-core,18,136,147,0.13,0.12,0.13
org.apache.commons:commons-text,org.glassfish.jaxb:jaxb-runtime,26,136,108,0.19,0.24,0.24
ch.qos.logback:logback-core,org.springframework:spring-jdbc,23,165,152,0.14,0.15,0.15
org.postgresql:postgresql,org.slf4j:jcl-over-slf4j,39,177,220,0.22,0.18,0.22
com.google.guava:guava,org.apache.commons:commons-compress,114,884,169,0.13,0.67,0.67
