dependency,count
commons-scxml:commons-scxml,1
org.esa.s1tbx:s1tbx-op-analysis-ui,1
org.odpi.egeria:data-manager-server,1
org.odpi.egeria:discovery-engine-client,1
org.odpi.egeria:rex-view-spring,1
org.odpi.egeria:security-integrator-spring,1
org.jruby:jruby-stdlib,3
io.github.perplexhub:rsql-common,1
com.navercorp.pinpoint:pinpoint-tools,1
com.influxdb:influxdb-client-utils,1
org.mock-server:mockserver-core,4
io.apiman:apiman-manager-api-war-tomcat8,1
com.alibaba.rsocket:alibaba-rsocket-spring-boot-starter,1
org.apache.rocketmq:rocketmq-serializer-core,1
com.sun.hotspot.igv:BatikSVGProxy,2
org.docx4j.org.apache:xalan-interpretive,1
info.archinnov:achilles-documentation,1
org.apache.hop:hop-transform-creditcardvalidator,1
org.apache.hop:hop-transform-detectlastrow,1
com.fujieid:jap-oauth2,1
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.stanfordnlp-model-ner-en-all.3class.distsim.crf,1
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.treetagger-model-tagger-fr-le,1
edu.cmu.cs:ark-tweet-nlp,1
com.google.guava:guava-concurrent,1
io.thorntail:servo,1
io.thorntail:swagger,1
org.hyperic.db2monitor:db2monitor,1
com.caffeineowl:bezier-utils,1
org.apache.skywalking:cluster-nacos-plugin,1
eclipse-photon:org.eclipse.osgi,1
org.kaazing:gateway.transport.sse,1
com.alipay.sofa:config-ark-plugin,1
com.alipay.sofa:sofa-ark-plugin-maven-plugin,1
org.moduliths:moduliths-core,1
com.vladsch.flexmark:flexmark-util-collection,1
io.prestosql.tempto:tempto-ldap,1
org.apache.omid:omid-commit-table,3
com.stormpath.spring:stormpath-spring-boot-starter,1
org.webjars.npm:dijit,1
org.noear:hasor-solon-plugin,1
org.noear:nami.coder.jackson,1
org.noear:sentinel-solon-plugin,1
io.quarkus:quarkus-smallrye-context-propagation-deployment,1
io.smallrye.stork:smallrye-stork-service-discovery-static-list,1
org.atteo:xml-combiner,1
com.github.ltsopensource:lts-core,1
com.wavefront:wavefront-spring-boot,1
com.dspot:declex-api,1
com.amazonaws:aws-lambda-java-runtime-interface-client,1
dep-in-parent:dep,1
org.apache.edgent.android:edgent-connectors-rabbitmq,1
org.apache.edgent.android:edgent-providers-direct,1
com.egzosn:pay-java-wx,1
com.oracle.oci.sdk:oci-java-sdk-cims,1
org.tanaguru:tanaguru-rgaa2.2,1
org.apache.predictionio:predictionio-sdk-java-client,1
org.dromara:hmily-tac-sqlcompute,1
org.wildfly.swarm:config-api-runtime,1
org.zalando:opentracing-flowid-autoconfigure,1
org.zalando:opentracing-proxy,1
avalon-framework:avalon-framework,3
iped:iped-parsers-impl,1
iped:java-dbf,1
org.jboss.resteasy:resteasy-atom-provider,2
qunar.tc.qconfig:qconfig-client,1
org.apache.samza:samza-core_2.11,1
org.jboss.arquillian.extension:arquillian-rest-client-impl-3x,3
org.apache.maven:maven-builder-support,1
org.dcm4che.dcm4chee-arc:dcm4chee-arc-rs-util,1
